Variable,Target,Technique,REAL,Synth_Lo,Synth_Hi,Contains_REAL
ESCS,SPI,Tabula,-0.081,-0.070,0.070,False
ESCS,SPI,TabSyn,-0.081,-0.180,-0.140,False
ESCS,SPI,CTGAN,-0.081,-0.120,-0.010,True
ESCS,SPI,PredLLM,-0.081,-0.010,0.130,False
ESCS,SPI,TapTap,-0.081,-0.120,-0.050,True
ESCS,SPI,GReaT,-0.081,-0.140,-0.030,True
ESCS,SMS,TabDiff,0.046,-0.010,0.080,True
ESCS,SMS,REaLTabFormer,0.046,-0.020,0.210,True
ESCS,SMS,Tabula,0.046,0.040,0.140,True
ESCS,SMS,TabSyn,0.046,0.060,0.110,False
ESCS,SMS,CTGAN,0.046,-0.070,0.030,False
ESCS,SMS,PredLLM,0.046,0.060,0.180,False
ESCS,SMS,TapTap,0.046,0.150,0.220,False
ESCS,SMS,GReaT,0.046,-0.030,0.060,True
motherEdu,SMP,TabDiff,0.183,0.080,0.220,True
motherEdu,SMP,REaLTabFormer,0.183,0.120,0.450,True
motherEdu,SMP,Tabula,0.183,0.070,0.120,False
motherEdu,SMP,TabSyn,0.183,0.120,0.240,True
motherEdu,SMP,CTGAN,0.183,0.150,0.310,True
motherEdu,SMP,PredLLM,0.183,0.190,0.360,False
motherEdu,SMP,TapTap,0.183,0.250,0.320,False
motherEdu,SMP,GReaT,0.183,0.000,0.140,False
motherEdu,SPI,TabDiff,-0.011,-0.090,0.080,True
motherEdu,SPI,REaLTabFormer,-0.011,-0.170,0.020,True
motherEdu,SPI,Tabula,-0.011,-0.040,0.040,True
motherEdu,SPI,TabSyn,-0.011,-0.090,-0.040,False
motherEdu,SPI,CTGAN,-0.011,-0.100,0.000,True
motherEdu,SPI,PredLLM,-0.011,0.000,0.100,False
motherEdu,SPI,TapTap,-0.011,-0.050,0.010,True
motherEdu,SPI,GReaT,-0.011,-0.080,0.030,True
motherEdu,SMS,TabDiff,0.043,0.010,0.060,True
motherEdu,SMS,REaLTabFormer,0.043,0.030,0.330,True
motherEdu,SMS,Tabula,0.043,0.000,0.040,False
motherEdu,SMS,TabSyn,0.043,0.040,0.110,True
motherEdu,SMS,CTGAN,0.043,-0.070,0.050,True
motherEdu,SMS,PredLLM,0.043,0.040,0.110,True
motherEdu,SMS,TapTap,0.043,0.070,0.170,False
motherEdu,SMS,GReaT,0.043,-0.020,0.090,True
immig,SMP,TabDiff,0.059,0.020,0.100,True
immig,SMP,REaLTabFormer,0.059,0.020,0.180,True
immig,SMP,Tabula,0.059,-0.140,-0.090,False
immig,SMP,TabSyn,0.059,0.050,0.120,True
immig,SMP,CTGAN,0.059,0.070,0.140,False
immig,SMP,PredLLM,0.059,-0.030,0.120,True
immig,SMP,TapTap,0.059,0.000,0.080,True
immig,SMP,GReaT,0.059,-0.120,0.010,False
immig,SPI,TabDiff,0.128,0.070,0.160,True
immig,SPI,REaLTabFormer,0.128,0.050,0.300,True
immig,SPI,Tabula,0.128,0.210,0.300,False
immig,SPI,TabSyn,0.128,0.010,0.120,False
immig,SPI,CTGAN,0.128,0.020,0.110,False
immig,SPI,PredLLM,0.128,0.140,0.300,False
immig,SPI,TapTap,0.128,0.080,0.180,True
immig,SPI,GReaT,0.128,0.150,0.220,False
immig,SMS,TabDiff,0.012,0.000,0.080,True
immig,SMS,REaLTabFormer,0.012,-0.150,0.150,True
immig,SMS,Tabula,0.012,0.010,0.060,True
