"lhs","op","rhs","block","group","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all"
"ST129Q04TA","|","t3",1,1,"",1.48919283463995,0.0200361706146965,74.3252222831255,0,1.44992266184704,1.52846300743285,1.48919283463995,1.48919283463995
"ST129Q05TA","|","t1",1,1,"",-0.526248023948459,0.0200361706146965,-26.2649003179508,0,-0.565518196741364,-0.486977851155554,-0.526248023948459,-0.526248023948459
"ST129Q05TA","|","t2",1,1,"",0.748342473585735,0.0200361706146965,37.3495758234772,0,0.70907230079283,0.78761264637864,0.748342473585735,0.748342473585735
"ST129Q05TA","|","t3",1,1,"",1.48919283463995,0.0200361706146965,74.3252222831255,0,1.44992266184704,1.52846300743285,1.48919283463995,1.48919283463995
"ST129Q06TA","|","t1",1,1,"",-0.627246613547482,0.0200361706146965,-31.3057133326364,0,-0.666516786340387,-0.587976440754577,-0.627246613547482,-0.627246613547482
"ST129Q06TA","|","t2",1,1,"",0.644483988297914,0.0200361706146965,32.1660261679537,0,0.605213815505009,0.683754161090819,0.644483988297914,0.644483988297914
"ST129Q06TA","|","t3",1,1,"",1.40334614641428,0.0200361706146965,70.0406366765977,0,1.36407597362138,1.44261631920719,1.40334614641428,1.40334614641428
"ST129Q07TA","|","t1",1,1,"",-0.790263331411006,0.0200361706146965,-39.4418348000764,0,-0.829533504203911,-0.750993158618101,-0.790263331411006,-0.790263331411006
"ST129Q07TA","|","t2",1,1,"",0.371489636883336,0.0200361706146965,18.5409499662998,0,0.332219464090431,0.410759809676241,0.371489636883336,0.371489636883336
"ST129Q07TA","|","t3",1,1,"",1.06757052387814,0.0200361706146965,53.2821637631234,0,1.02830035108524,1.10684069667105,1.06757052387814,1.06757052387814
"ST129Q08TA","|","t1",1,1,"",-0.489626707727254,0.0200361706146965,-24.4371400674794,0,-0.528896880520159,-0.450356534934349,-0.489626707727254,-0.489626707727254
"ST129Q08TA","|","t2",1,1,"",0.690998293977814,0.0200361706146965,34.4875429175556,0,0.651728121184909,0.730268466770719,0.690998293977814,0.690998293977814
"ST129Q08TA","|","t3",1,1,"",1.36150316141724,0.0200361706146965,67.9522643123521,0,1.32223298862434,1.40077333421015,1.36150316141724,1.36150316141724
"ST113Q01TA","~~","ST113Q01TA",1,1,"",0.210052386735907,0,NA,NA,0.210052386735907,0.210052386735907,0.210052386735907,0.210052386735907
"ST113Q02TA","~~","ST113Q02TA",1,1,"",0.106012372870254,0,NA,NA,0.106012372870254,0.106012372870254,0.106012372870254,0.106012372870254
"ST113Q03TA","~~","ST113Q03TA",1,1,"",0.160176153508065,0,NA,NA,0.160176153508065,0.160176153508065,0.160176153508065,0.160176153508065
"ST113Q04TA","~~","ST113Q04TA",1,1,"",0.252630477559414,0,NA,NA,0.252630477559414,0.252630477559414,0.252630477559414,0.252630477559414
"ST129Q01TA","~~","ST129Q01TA",1,1,"",0.46757196614489,0,NA,NA,0.46757196614489,0.46757196614489,0.46757196614489,0.46757196614489
"ST129Q02TA","~~","ST129Q02TA",1,1,"",0.373782531549713,0,NA,NA,0.373782531549713,0.373782531549713,0.373782531549713,0.373782531549713
"ST129Q03TA","~~","ST129Q03TA",1,1,"",0.392749038570118,0,NA,NA,0.392749038570118,0.392749038570118,0.392749038570118,0.392749038570118
"ST129Q04TA","~~","ST129Q04TA",1,1,"",0.336420240455117,0,NA,NA,0.336420240455117,0.336420240455117,0.336420240455117,0.336420240455117
"ST129Q05TA","~~","ST129Q05TA",1,1,"",0.323548789905871,0,NA,NA,0.323548789905871,0.323548789905871,0.323548789905871,0.323548789905871
"ST129Q06TA","~~","ST129Q06TA",1,1,"",0.340841736586356,0,NA,NA,0.340841736586356,0.340841736586356,0.340841736586356,0.340841736586356
"ST129Q07TA","~~","ST129Q07TA",1,1,"",0.488477632479441,0,NA,NA,0.488477632479441,0.488477632479441,0.488477632479441,0.488477632479441
"ST129Q08TA","~~","ST129Q08TA",1,1,"",0.381069469043859,0,NA,NA,0.381069469043859,0.381069469043859,0.381069469043859,0.381069469043859
"MOT","~~","MOT",1,1,"",0.789947613264093,0.0167206027717427,47.2439674602567,0,0.757175834031676,0.822719392496509,1,1
"SCIEFF","~~","SCIEFF",1,1,"",0.53242803385511,0.00987675656747404,53.9071739004373,0,0.513069946698791,0.551786121011428,1,1
