"lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"female","~~","SCHSIZE_z","",-0.0332752740851893,0,NA,NA,-0.0332752740851893,-0.0332752740851893,-0.0332752740851893,-0.0665330285349652,-0.0332752740851893
"ESCS_z","~~","ESCS_z","",0.992870516439201,0,NA,NA,0.992870516439201,0.992870516439201,0.992870516439201,1,0.992870516439201
"ESCS_z","~~","ST001D01T_z","",0.0855634611315156,0,NA,NA,0.0855634611315156,0.0855634611315156,0.0855634611315156,0.0859593494332164,0.0855634611315156
"ESCS_z","~~","MISCED","",1.43717090422562,0,NA,NA,1.43717090422562,1.43717090422562,1.43717090422562,0.681329329365757,1.43717090422562
"ESCS_z","~~","SCHSIZE_z","",0.286283903795265,0,NA,NA,0.286283903795265,0.286283903795265,0.286283903795265,0.286957164269195,0.286283903795265
"ST001D01T_z","~~","ST001D01T_z","",0.997924841066166,0,NA,NA,0.997924841066166,0.997924841066166,0.997924841066166,1,0.997924841066166
"ST001D01T_z","~~","MISCED","",0.112293839644205,0,NA,NA,0.112293839644205,0.112293839644205,0.112293839644205,0.0531009132798905,0.112293839644205
"ST001D01T_z","~~","SCHSIZE_z","",-0.00450776732031783,0,NA,NA,-0.00450776732031783,-0.00450776732031783,-0.00450776732031783,-0.00450691142067513,-0.00450776732031783
"MISCED","~~","MISCED","",4.48136222536323,0,NA,NA,4.48136222536323,4.48136222536323,4.48136222536323,1,4.48136222536323
"MISCED","~~","SCHSIZE_z","",0.419527412107692,0,NA,NA,0.419527412107692,0.419527412107692,0.419527412107692,0.197934622456608,0.419527412107692
"SCHSIZE_z","~~","SCHSIZE_z","",1.00246011662393,0,NA,NA,1.00246011662393,1.00246011662393,1.00246011662393,1,1.00246011662393
"PV1MATH","~1","","",643.15468943434,7.71912389466665,83.3196484744483,0,628.025484608591,658.283894260089,643.15468943434,6.10112347647239,6.10112347647239
"PV2MATH","~1","","",642.980005456812,7.76802909036386,82.7726052486622,0,627.754948208839,658.205062704785,642.980005456812,6.08111567793573,6.08111567793573
"PV3MATH","~1","","",644.040724221685,7.81218695622118,82.440516059182,0,628.729119146998,659.352329296372,644.040724221685,6.04299075794173,6.04299075794173
"PV4MATH","~1","","",643.18088813585,7.86842373942381,81.7420247607241,0,627.75906099148,658.602715280221,643.18088813585,6.00381957290703,6.00381957290703
"PV5MATH","~1","","",643.645029647414,7.84427686571571,82.0528189743706,0,628.270529505851,659.019529788978,643.645029647414,6.02526249973557,6.02526249973557
"PV6MATH","~1","","",643.794462655467,7.79938820349152,82.5442260159922,0,628.507942675178,659.080982635757,643.794462655467,6.07059478865355,6.07059478865355
"PV7MATH","~1","","",644.309991674297,7.75525781529981,83.0804090617313,0,629.109965665486,659.510017683107,644.309991674297,6.09059042930885,6.09059042930885
"PV8MATH","~1","","",644.800000011628,7.86082627086642,82.027000444135,0,629.393063632004,660.206936391252,644.800000011628,6.02786614699109,6.02786614699109
"PV9MATH","~1","","",644.582221690543,7.83121287882923,82.3093729750465,0,629.233326492771,659.931116888314,644.582221690543,6.04169846178947,6.04169846178947
"PV10MATH","~1","","",644.137595434773,7.74447379396057,83.1738362827305,0,628.958705719396,659.31648515015,644.137595434773,6.11342020378011,6.11342020378011
"ST268Q01JA","~1","","",3.07569880852537,0.0762190491359773,40.3534135283978,0,2.92631221728296,3.22508539976777,3.07569880852537,3.27575255199681,3.27575255199681
