Variable,Technique,Type,Category_Adherence,Category_Proportions
SC064Q03TA,TabSyn,ordinal,1.000,"1: 9.5%, 2: 25.0%, 3: 3.8%, 5: 32.1%, 6: 5.1%, 10: 8.7%, 16: 3.6%, 20: 7.7%, 30: 4.6%"
SC064Q03TA,Tabula,ordinal,1.000,"1.0: 9.6%, 2.0: 34.7%, 3.0: 5.7%, 4.0: 0.0%, 5.0: 25.8%, 6.0: 6.2%, 10.0: 6.0%, 16.0: 2.6%, 20.0: 6.0%, 30.0: 3.5%, 100.0: 0.0%"
SC064Q03TA,TapTap,ordinal,0.000,"1.000740568: 7.1%, 1.999663259: 27.5%, 2.99858595: 3.8%, 5.003416807: 38.1%, 5.701964143: 0.0%, 6.002339498: 3.5%, 9.998030263: 8.5%, 15.99855189: 2.0%, 16.00064753: 0.0%, 20.00122812: 6.1%, 29.99744051: 3.4%"
SC064Q04NA,REAL,ordinal,,"1.0: 4.2%, 2.0: 15.5%, 3.0: 15.2%, 4.0: 3.2%, 5.0: 19.6%, 6.0: 4.7%, 8.0: 3.5%, 10.0: 12.5%, 15.0: 10.6%, 20.0: 6.7%, 26.0: 4.3%"
SC064Q04NA,CTGAN,ordinal,0.764,"1.0: 2.1%, 2.0: 14.6%, 3.0: 14.6%, 4.0: 4.8%, 5.0: 16.1%, 6.0: 7.8%, 7.0: 0.6%, 8.0: 1.4%, 9.0: 5.7%, 10.0: 7.9%, 11.0: 2.6%, 12.0: 0.2%, 13.0: 0.4%, 14.0: 2.0%, 15.0: 4.3%, 16.0: 2.5%, 17.0: 0.8%, 18.0: 0.6%, 19.0: 0.8%, 20.0: 1.2%, 21.0: 1.6%, 22.0: 1.8%, 23.0: 1.5%, 24.0: 1.3%, 25.0: 1.3%, 26.0: 1.6%"
SC064Q04NA,GReaT,ordinal,1.000,"1.0: 4.3%, 2.0: 17.8%, 3.0: 17.8%, 4.0: 1.3%, 5.0: 19.8%, 6.0: 5.9%, 8.0: 2.8%, 10.0: 13.9%, 15.0: 9.4%, 20.0: 3.6%, 26.0: 3.4%"
SC064Q04NA,PredLLM,ordinal,0.000,"1.0100230401517898: 5.7%, 1.9954860671508257: 22.5%, 2.980949094149862: 12.1%, 4.032109656282167: 2.9%, 5.017572683281204: 20.2%, 6.00303571028024: 0.7%, 7.448381483212159: 0.0%, 7.776869158878505: 0.6%, 7.973961764278312: 2.7%, 10.010585353409652: 13.0%, 15.003598023538103: 10.0%, 19.40533287746713: 0.0%, 19.99661069366656: 6.5%, 25.97508639079404: 3.0%"
SC064Q04NA,REaLTabFormer,ordinal,0.000,"1.0100230401517898: 5.3%, 1.9954860671508257: 12.4%, 2.126881137417364: 0.0%, 2.980949094149862: 9.3%, 4.032109656282167: 5.7%, 5.017572683281204: 21.4%, 7.579776553478697: 0.1%, 7.973961764278312: 3.7%, 10.010585353409652: 11.9%, 13.426857180339644: 0.0%, 13.558252250606184: 0.0%, 15.003598023538103: 13.4%, 19.99661069366656: 10.0%, 25.97508639079404: 6.6%"
SC064Q04NA,TabDiff,ordinal,1.000,"1: 3.6%, 2: 15.1%, 3: 15.7%, 4: 3.1%, 5: 20.5%, 6: 4.3%, 8: 4.4%, 10: 12.9%, 15: 10.1%, 20: 6.3%, 26: 4.1%"
SC064Q04NA,TabSyn,ordinal,1.000,"1: 3.4%, 2: 16.3%, 3: 14.0%, 4: 2.7%, 5: 21.5%, 6: 5.3%, 8: 3.5%, 10: 12.3%, 15: 10.5%, 20: 7.3%, 26: 3.3%"
