Variable,Technique,Type,Mean ± SD,Range,Boundary_Adherence,Category_Proportions,Category_Adherence
SC064Q05WA,TapTap,ordinal,,,,"0.396087407: 0.0%, 2.001051075: 9.9%, 4.002747336: 7.7%, 4.994578816: 16.1%, 6.004443596: 3.7%, 10.00783612: 24.5%, 15.00306012: 4.2%, 19.99828412: 14.9%, 23.24427805: 0.0%, 24.99350812: 6.9%, 28.00506916: 4.6%, 39.99721342: 3.3%, 70.00462403: 2.5%, 85.00832933: 1.7%",0.000
SC064Q03TA,TapTap,ordinal,,,,"1.000740568: 7.1%, 1.999663259: 27.5%, 2.99858595: 3.8%, 5.003416807: 38.1%, 5.701964143: 0.0%, 6.002339498: 3.5%, 9.998030263: 8.5%, 15.99855189: 2.0%, 16.00064753: 0.0%, 20.00122812: 6.1%, 29.99744051: 3.4%",0.000
SC064Q02TA,TapTap,ordinal,,,,"9.997786811: 4.0%, 20.00756976: 9.0%, 29.98711167: 3.2%, 30.59193239: 0.0%, 50.00667756: 6.5%, 66.27635497: 0.0%, 69.99600241: 2.5%, 74.98577337: 4.0%, 80.00578536: 6.4%, 81.27590887: 0.0%, 89.98532727: 7.7%, 97.99920183: 2.1%, 99.99511021: 54.3%",0.000
SC064Q07WA,TapTap,ordinal,,,,"1.010467073: 17.2%, 2.007306244: 13.2%, 3.004145414: 6.6%, 3.276010643: 0.0%, 4.000984585: 3.7%, 4.997823756: 16.8%, 5.541554212: 0.0%, 5.994662926: 4.3%, 6.44777164: 0.0%, 6.991502097: 4.0%, 10.00467504: 8.7%, 14.9888709: 6.7%, 16.0083655: 2.3%, 29.21648452: 0.0%, 30.00942477: 5.9%, 47.99784071: 7.3%, 99.99206564: 3.3%",0.000
MISCED,TapTap,ordinal,,,,"1: 0.5%, 2: 0.8%, 3: 2.1%, 4: 15.6%, 6: 13.7%, 7: 15.1%, 8: 27.6%, 9: 19.0%, 10: 5.4%",1.000
ST268Q04JA,TapTap,ordinal,,,,"1: 9.8%, 2: 34.1%, 3: 41.0%, 4: 15.1%",1.000
AGE,PredLLM,continuous,15.759 ± 0.272,15 to 16,1.000,,
ESCS,PredLLM,continuous,0.555 ± 0.726,-2 to 1,1.000,,
PV1MATH,PredLLM,continuous,591.656 ± 94.758,207 to 817,1.000,,
PV2MATH,PredLLM,continuous,590.678 ± 95.279,286 to 878,1.000,,
PV3MATH,PredLLM,continuous,591.036 ± 95.287,287 to 831,1.000,,
PV4MATH,PredLLM,continuous,591.250 ± 97.408,274 to 882,1.000,,
PV5MATH,PredLLM,continuous,588.866 ± 96.497,205 to 874,0.999,,
PV6MATH,PredLLM,continuous,590.944 ± 94.153,214 to 811,1.000,,
PV7MATH,PredLLM,continuous,593.390 ± 95.577,232 to 875,1.000,,
PV8MATH,PredLLM,continuous,592.658 ± 95.557,254 to 843,0.999,,
PV9MATH,PredLLM,continuous,592.402 ± 94.446,270 to 842,1.000,,
PV10MATH,PredLLM,continuous,593.882 ± 93.934,238 to 817,1.000,,
SCHSIZE,PredLLM,continuous,1379.422 ± 740.037,314 to 4018,0.992,,
MCLSIZE,PredLLM,continuous,30.337 ± 7.973,18 to 37,1.000,,
ST001D01T,PredLLM,categorical,,,,"8: 0.1%, 9: 4.8%, 10: 94.9%, 11: 0.2%",1.000
ST004D01T,PredLLM,categorical,,,,"1: 47.6%, 2: 52.4%",1.000
SC064Q06WA,PredLLM,ordinal,,,,"3.015865958: 2.7%, 4.087490338: 9.8%, 10.16002849: 14.9%, 11.58886099: 0.0%, 15.16094225: 8.1%, 20.16185602: 21.6%, 21.59068853: 0.0%, 30.16368356: 5.9%, 31.59251607: 0.0%, 33.02134857: 3.5%, 41.59434361: 0.0%, 45.88084112: 1.7%, 50.16733864: 7.8%, 70.17099371: 13.2%, 80.17282125: 7.6%, 90.17464879: 3.1%",0.000
ST268Q07JA,PredLLM,ordinal,,,,"1: 0.6%, 2: 0.6%, 3: 22.6%, 4: 76.2%",1.000
ST268Q01JA,PredLLM,ordinal,,,,"1: 9.8%, 2: 28.9%, 3: 39.5%, 4: 21.8%",1.000
SC064Q01TA,PredLLM,ordinal,,,,"3.943297759: 3.4%, 4.992090109: 6.6%, 6.04088246: 9.9%, 10.06125314: 11.7%, 14.95561744: 15.4%, 15.13041616: 0.0%, 20.02478047: 31.6%, 22.47196262: 1.3%, 24.91914477: 3.8%, 29.9883078: 5.0%, 30.6875027: 0.0%, 34.00867847: 0.5%, 34.1834772: 0.0%, 39.95183512: 0.8%, 41.00062747: 0.0%, 47.4681803: 0.0%, 70.01721584: 10.0%",0.000
IMMIG,PredLLM,categorical,,,,"1: 81.0%, 2: 5.1%, 3: 13.9%",1.000
SC064Q04NA,PredLLM,ordinal,,,,"1.01002304: 4.8%, 1.995486067: 25.0%, 2.980949094: 11.1%, 3.30943677: 0.0%, 4.032109656: 3.4%, 5.017572683: 19.8%, 5.87164064: 0.0%, 6.00303571: 1.0%, 6.200128316: 0.0%, 7.776869159: 1.2%, 7.973961764: 2.6%, 10.01058535: 13.6%, 10.53616563: 0.0%, 15.00359802: 8.3%, 19.99661069: 5.2%, 25.97508639: 3.9%",0.000
SC064Q05WA,PredLLM,ordinal,,,,"2.019084375: 11.4%, 4.002747336: 9.9%, 4.904412318: 15.4%, 5.986410296: 3.5%, 9.412737228: 0.0%, 9.953736218: 21.0%, 14.28172813: 0.0%, 15.00306012: 8.0%, 17.16705607: 1.3%, 19.33105203: 0.0%, 20.05238402: 15.2%, 24.38037593: 0.0%, 24.92137492: 7.6%, 27.98703586: 0.6%, 29.42969983: 0.0%, 39.52834763: 0.0%, 40.06934662: 0.7%, 70.00462403: 3.8%, 84.97226273: 1.4%",0.000
SC064Q03TA,PredLLM,ordinal,,,,"0.888972994: 0.0%, 1.028682461: 11.5%, 2.006648732: 32.3%, 2.984615004: 0.7%, 5.01040228: 40.6%, 5.988368551: 1.0%, 6.686915888: 1.6%, 9.97008837: 4.5%, 11.36718304: 0.0%, 11.71645671: 0.0%, 15.97759547: 2.5%, 20.02917002: 4.8%, 30.01839693: 0.4%",0.000
SC064Q02TA,PredLLM,ordinal,,,,"10.08850992: 5.0%, 20.06805183: 11.1%, 30.04759374: 1.0%, 40.32954601: 0.0%, 41.23677709: 0.0%, 48.19221539: 0.0%, 50.00667756: 7.7%, 69.96576138: 4.0%, 75.10673751: 7.4%, 78.13084112: 1.7%, 79.94530329: 5.9%, 89.9248452: 6.5%, 98.08992494: 2.7%, 99.90438711: 47.0%",0.000
SC064Q07WA,PredLLM,ordinal,,,,"1.010467073: 19.2%, 1.916684501: 14.9%, 3.049456286: 5.7%, 3.955673714: 3.5%, 5.088445498: 19.2%, 5.994662926: 3.1%, 6.900880354: 0.3%, 10.07264135: 7.3%, 12.79129364: 0.0%, 13.92406542: 1.7%, 15.05683721: 7.7%, 15.73650028: 0.0%, 15.96305463: 2.8%, 16.18960899: 0.0%, 24.79867456: 0.0%, 30.00942477: 5.9%, 38.61849033: 0.0%, 42.01680569: 0.0%, 47.90721897: 8.4%",0.000
MISCED,PredLLM,ordinal,,,,"1: 0.5%, 2: 0.7%, 3: 2.1%, 4: 12.3%, 6: 13.0%, 7: 18.6%, 8: 28.3%, 9: 20.4%, 10: 4.1%",1.000
ST268Q04JA,PredLLM,ordinal,,,,"1: 9.6%, 2: 33.7%, 3: 40.2%, 4: 16.5%",1.000
AGE,TabSyn,continuous,15.782 ± 0.274,15 to 16,1.000,,
ESCS,TabSyn,continuous,0.573 ± 0.737,-2 to 2,1.000,,
PV1MATH,TabSyn,continuous,587.563 ± 96.130,249 to 936,1.000,,
PV2MATH,TabSyn,continuous,589.564 ± 94.530,277 to 878,1.000,,
PV3MATH,TabSyn,continuous,593.131 ± 91.944,290 to 837,1.000,,
PV4MATH,TabSyn,continuous,588.356 ± 94.436,211 to 833,1.000,,
PV5MATH,TabSyn,continuous,585.737 ± 95.041,211 to 806,1.000,,
PV6MATH,TabSyn,continuous,591.246 ± 92.333,266 to 851,1.000,,
PV7MATH,TabSyn,continuous,594.182 ± 96.590,239 to 874,1.000,,
PV8MATH,TabSyn,continuous,592.491 ± 95.297,295 to 828,1.000,,
PV9MATH,TabSyn,continuous,591.392 ± 92.718,269 to 841,1.000,,
PV10MATH,TabSyn,continuous,594.431 ± 92.115,246 to 816,1.000,,
SCHSIZE,TabSyn,continuous,1299.773 ± 787.334,315 to 4020,1.000,,
MCLSIZE,TabSyn,continuous,29.321 ± 8.024,18 to 38,1.000,,
ST001D01T,TabSyn,categorical,,,,"8: 0.2%, 9: 6.0%, 10: 93.6%, 11: 0.3%",1.000
ST004D01T,TabSyn,categorical,,,,"1: 52.0%, 2: 48.0%",1.000
SC064Q06WA,TabSyn,ordinal,,,,"3: 3.5%, 4: 6.4%, 10: 9.7%, 15: 6.1%, 20: 20.7%, 30: 4.1%, 33: 2.5%, 50: 7.5%, 70: 7.9%, 80: 9.1%, 90: 5.5%, 100: 17.0%",1.000
ST268Q07JA,TabSyn,ordinal,,,,"1: 0.3%, 2: 0.1%, 3: 24.1%, 4: 75.5%",1.000
ST268Q01JA,TabSyn,ordinal,,,,"1: 5.9%, 2: 27.2%, 3: 45.4%, 4: 21.6%",1.000
SC064Q01TA,TabSyn,ordinal,,,,"4: 2.2%, 5: 6.9%, 6: 6.4%, 10: 11.6%, 15: 12.0%, 20: 28.6%, 25: 4.6%, 30: 8.8%, 34: 5.1%, 40: 5.2%, 70: 8.5%",1.000
IMMIG,TabSyn,categorical,,,,"1: 81.9%, 2: 6.7%, 3: 11.4%",1.000
SC064Q04NA,TabSyn,ordinal,,,,"1: 3.4%, 2: 16.3%, 3: 14.0%, 4: 2.7%, 5: 21.5%, 6: 5.3%, 8: 3.5%, 10: 12.3%, 15: 10.5%, 20: 7.3%, 26: 3.3%",1.000
SC064Q05WA,TabSyn,ordinal,,,,"2: 9.8%, 4: 6.4%, 5: 13.3%, 6: 2.5%, 10: 21.8%, 15: 4.7%, 20: 18.7%, 25: 7.4%, 28: 5.0%, 40: 5.1%, 70: 3.3%, 85: 1.9%",1.000
SC064Q03TA,TabSyn,ordinal,,,,"1: 9.5%, 2: 25.0%, 3: 3.8%, 5: 32.1%, 6: 5.1%, 10: 8.7%, 16: 3.6%, 20: 7.7%, 30: 4.6%",1.000
SC064Q02TA,TabSyn,ordinal,,,,"10: 3.2%, 20: 8.7%, 30: 5.0%, 50: 6.0%, 70: 3.3%, 75: 5.0%, 80: 6.9%, 90: 9.9%, 98: 3.6%, 100: 48.4%",1.000
SC064Q07WA,TabSyn,ordinal,,,,"1: 16.1%, 2: 12.6%, 3: 7.0%, 4: 2.5%, 5: 15.3%, 6: 5.7%, 7: 4.3%, 10: 11.5%, 15: 6.0%, 16: 3.5%, 30: 4.1%, 48: 6.4%, 100: 5.2%",1.000
MISCED,TabSyn,ordinal,,,,"1: 0.3%, 2: 2.3%, 3: 1.9%, 4: 9.3%, 6: 15.3%, 7: 13.6%, 8: 23.3%, 9: 27.2%, 10: 6.8%",1.000
ST268Q04JA,TabSyn,ordinal,,,,"1: 11.9%, 2: 26.9%, 3: 41.4%, 4: 19.9%",1.000
AGE,TabDiff,continuous,15.781 ± 0.324,15 to 16,1.000,,
ESCS,TabDiff,continuous,0.502 ± 0.882,-2 to 2,1.000,,
PV1MATH,TabDiff,continuous,591.244 ± 134.814,246 to 942,1.000,,
PV2MATH,TabDiff,continuous,582.478 ± 138.463,277 to 878,1.000,,
PV3MATH,TabDiff,continuous,585.365 ± 129.394,282 to 838,1.000,,
PV4MATH,TabDiff,continuous,577.489 ± 144.926,201 to 833,1.000,,
PV5MATH,TabDiff,continuous,586.159 ± 104.166,206 to 806,1.000,,
PV6MATH,TabDiff,continuous,581.917 ± 137.875,266 to 851,1.000,,
PV7MATH,TabDiff,continuous,587.454 ± 140.640,238 to 876,1.000,,
PV8MATH,TabDiff,continuous,584.298 ± 132.476,293 to 828,1.000,,
PV9MATH,TabDiff,continuous,584.326 ± 138.785,269 to 841,1.000,,
PV10MATH,TabDiff,continuous,583.406 ± 136.705,238 to 817,1.000,,
SCHSIZE,TabDiff,continuous,1332.067 ± 811.570,315 to 4020,1.000,,
MCLSIZE,TabDiff,continuous,29.384 ± 8.200,18 to 38,1.000,,
ST001D01T,TabDiff,categorical,,,,"8: 0.4%, 9: 6.7%, 10: 92.1%, 11: 0.7%",1.000
ST004D01T,TabDiff,categorical,,,,"1: 49.3%, 2: 50.7%",1.000
SC064Q06WA,TabDiff,ordinal,,,,"3: 4.5%, 4: 6.4%, 10: 10.1%, 15: 5.8%, 20: 19.9%, 30: 4.8%, 33: 3.0%, 50: 5.3%, 70: 8.5%, 80: 8.1%, 90: 4.4%, 100: 19.1%",1.000
ST268Q07JA,TabDiff,ordinal,,,,"1: 1.1%, 2: 1.4%, 3: 25.1%, 4: 72.4%",1.000
ST268Q01JA,TabDiff,ordinal,,,,"1: 9.9%, 2: 26.8%, 3: 38.6%, 4: 24.6%",1.000
SC064Q01TA,TabDiff,ordinal,,,,"4: 3.1%, 5: 8.4%, 6: 6.6%, 10: 13.7%, 15: 9.5%, 20: 28.2%, 25: 3.9%, 30: 8.3%, 34: 5.0%, 40: 4.3%, 70: 9.0%",1.000
IMMIG,TabDiff,categorical,,,,"1: 70.7%, 2: 9.9%, 3: 19.4%",1.000
SC064Q04NA,TabDiff,ordinal,,,,"1: 3.6%, 2: 15.1%, 3: 15.7%, 4: 3.1%, 5: 20.5%, 6: 4.3%, 8: 4.4%, 10: 12.9%, 15: 10.1%, 20: 6.3%, 26: 4.1%",1.000
SC064Q05WA,TabDiff,ordinal,,,,"2: 10.8%, 4: 6.4%, 5: 14.3%, 6: 3.0%, 10: 22.8%, 15: 4.3%, 20: 17.7%, 25: 5.4%, 28: 5.2%, 40: 4.1%, 70: 3.9%, 85: 2.2%",1.000
SC064Q03TA,TabDiff,ordinal,,,,"1: 7.8%, 2: 26.3%, 3: 4.8%, 5: 32.5%, 6: 4.1%, 10: 9.1%, 16: 4.7%, 20: 6.3%, 30: 4.3%",1.000
SC064Q02TA,TabDiff,ordinal,,,,"10: 4.6%, 20: 8.6%, 30: 4.0%, 50: 5.7%, 70: 4.0%, 75: 4.1%, 80: 7.2%, 90: 8.8%, 98: 4.3%, 100: 48.6%",1.000
SC064Q07WA,TabDiff,ordinal,,,,"1: 15.8%, 2: 13.1%, 3: 8.9%, 4: 3.1%, 5: 15.0%, 6: 4.4%, 7: 4.3%, 10: 10.6%, 15: 5.7%, 16: 4.6%, 30: 4.4%, 48: 6.1%, 100: 4.1%",1.000
MISCED,TabDiff,ordinal,,,,"1: 1.2%, 2: 1.4%, 3: 2.8%, 4: 14.3%, 6: 12.1%, 7: 13.9%, 8: 24.0%, 9: 22.6%, 10: 7.7%",1.000
ST268Q04JA,TabDiff,ordinal,,,,"1: 10.5%, 2: 30.9%, 3: 40.3%, 4: 18.3%",1.000
AGE,REaLTabFormer,continuous,15.818 ± 0.297,15 to 16,1.000,,
ESCS,REaLTabFormer,continuous,0.561 ± 0.796,-3 to 2,1.000,,
PV1MATH,REaLTabFormer,continuous,580.228 ± 93.604,188 to 943,0.997,,
PV2MATH,REaLTabFormer,continuous,583.566 ± 91.341,281 to 868,1.000,,
PV3MATH,REaLTabFormer,continuous,577.570 ± 83.032,289 to 809,1.000,,
PV4MATH,REaLTabFormer,continuous,577.981 ± 87.755,201 to 860,1.000,,
PV5MATH,REaLTabFormer,continuous,571.738 ± 89.800,278 to 870,0.999,,
PV6MATH,REaLTabFormer,continuous,582.411 ± 87.679,211 to 865,0.998,,
PV7MATH,REaLTabFormer,continuous,583.714 ± 92.478,194 to 872,0.998,,
PV8MATH,REaLTabFormer,continuous,581.806 ± 85.930,293 to 870,1.000,,
PV9MATH,REaLTabFormer,continuous,581.449 ± 96.122,186 to 887,0.997,,
PV10MATH,REaLTabFormer,continuous,585.818 ± 86.395,188 to 825,0.999,,
SCHSIZE,REaLTabFormer,continuous,1651.648 ± 997.703,164 to 4018,1.000,,
MCLSIZE,REaLTabFormer,continuous,29.155 ± 7.966,14 to 41,0.999,,
ST001D01T,REaLTabFormer,categorical,,,,"8: 0.5%, 9: 6.4%, 10: 92.7%, 11: 0.5%",1.000
ST004D01T,REaLTabFormer,categorical,,,,"1: 54.0%, 2: 46.0%",1.000
SC064Q06WA,REaLTabFormer,ordinal,,,,"1.5870334530104344: 0.2%, 3.015865958445432: 3.4%, 4.087490337521686: 5.8%, 5.873530969315425: 0.0%, 9.445612232902915: 0.0%, 10.160028485620415: 15.1%, 11.946069117414162: 0.1%, 15.160942254642904: 5.2%, 16.5897747600779: 0.0%, 20.1618560236654: 19.0%, 29.80647543535162: 4.5%, 33.021348572580365: 2.0%, 45.88084112149533: 0.0%, 50.16733863780032: 6.9%, 64.09845556579154: 0.0%, 70.17099371389027: 11.5%, 79.8156131255765: 14.4%, 90.17464878998022: 3.6%, 99.81926820166646: 8.1%",0.000
ST268Q07JA,REaLTabFormer,ordinal,,,,"1: 1.3%, 2: 1.7%, 3: 20.5%, 4: 76.5%",1.000
ST268Q01JA,REaLTabFormer,ordinal,,,,"1: 11.6%, 2: 38.1%, 3: 34.5%, 4: 15.8%",1.000
SC064Q01TA,REaLTabFormer,ordinal,,,,"3.9432977589132783: 2.1%, 4.992090109360966: 3.0%, 6.040882459808653: 5.8%, 9.886454411450176: 0.0%, 10.061253136524792: 12.8%, 10.935246761897863: 0.0%, 14.955617438614002: 9.0%, 20.024780465777827: 31.5%, 24.919144767867035: 6.2%, 29.98830779503086: 9.3%, 34.008678471747: 3.3%, 39.951835124283896: 0.0%, 70.01721583711762: 16.9%",0.000
IMMIG,REaLTabFormer,categorical,,,,"1: 53.2%, 2: 16.2%, 3: 30.6%",1.000
SC064Q04NA,REaLTabFormer,ordinal,,,,"1.0100230401517898: 1.2%, 1.9954860671508257: 18.2%, 2.980949094149862: 9.5%, 4.032109656282167: 2.1%, 4.3605973319485125: 0.0%, 4.951875148147934: 0.0%, 5.017572683281204: 23.4%, 5.543152964347356: 0.0%, 7.119893807545814: 0.0%, 7.579776553478697: 0.0%, 7.973961764278312: 3.4%, 8.433844510211195: 0.1%, 10.010585353409652: 21.0%, 12.572789223607147: 0.0%, 13.426857180339644: 0.0%, 13.558252250606184: 0.1%, 15.003598023538103: 6.2%, 19.99661069366656: 5.3%, 25.77799378539424: 0.0%, 25.97508639079404: 9.4%",0.000
SC064Q05WA,REaLTabFormer,ordinal,,,,"2.0190843748332004: 12.0%, 4.002747335538732: 5.7%, 4.904412317677609: 8.3%, 5.986410296244264: 2.0%, 6.347076289099816: 0.0%, 9.412737228372002: 0.1%, 9.953736217655328: 25.3%, 15.003060117633046: 2.0%, 20.052384017610763: 23.0%, 24.921374921160705: 6.9%, 25.46237391044404: 0.0%, 27.98703586043289: 3.3%, 30.33136481399397: 0.0%, 30.872363803277302: 0.2%, 32.31502777469951: 0.0%, 33.93802474254949: 0.0%, 57.38131427816032: 0.0%, 70.00462402810462: 9.4%, 84.43126374232666: 0.0%, 84.97226273160999: 1.5%",0.000
SC064Q03TA,REaLTabFormer,ordinal,,,,"0.3301351244837924: 0.1%, 1.0286824611174925: 8.2%, 2.006648732404673: 37.3%, 2.984615003691854: 1.8%, 3.4037434056720746: 0.0%, 5.010402279929586: 32.1%, 5.988368551216766: 0.0%, 8.992122098741678: 0.0%, 9.97008837002886: 10.7%, 15.977595465078686: 3.4%, 20.029170017554147: 5.3%, 30.018396931416063: 1.1%",0.000
SC064Q02TA,REaLTabFormer,ordinal,,,,"10.088509919671878: 6.4%, 10.995741002362848: 0.0%, 20.06805182927265: 8.7%, 44.865701422826085: 0.0%, 46.07534286641405: 0.0%, 50.00667755807497: 5.2%, 50.309087918971954: 0.0%, 69.96576137727651: 9.5%, 75.1067375125254: 2.0%, 78.13084112149532: 0.0%, 78.73566184328931: 0.0%, 79.94530328687728: 10.3%, 85.69110014392015: 0.0%, 89.92484519647806: 12.1%, 98.08992494069686: 3.4%, 99.9043871060788: 42.2%",0.000
SC064Q07WA,REaLTabFormer,ordinal,,,,"1.0104670729056355: 11.1%, 1.916684500811256: 17.1%, 2.5963475717404734: 0.0%, 3.049456285693285: 11.3%, 3.955673713598907: 2.0%, 5.088445498480933: 22.1%, 5.994662926386556: 3.7%, 6.900880354292178: 1.9%, 10.072641351961854: 8.9%, 13.924065420560748: 0.0%, 15.056837205442775: 5.2%, 15.963054633348396: 3.3%, 17.77548948915964: 0.0%, 22.75968534264056: 0.0%, 30.009424765885537: 4.4%, 38.61849033098895: 0.0%, 47.90721896702158: 8.6%, 52.66486046352608: 0.0%, 93.89775343323188: 0.0%",0.000
MISCED,REaLTabFormer,ordinal,,,,"1: 1.3%, 2: 0.9%, 3: 4.1%, 4: 9.8%, 6: 12.9%, 7: 7.6%, 8: 26.5%, 9: 29.2%, 10: 7.8%",1.000
ST268Q04JA,REaLTabFormer,ordinal,,,,"1: 21.8%, 2: 23.1%, 3: 33.2%, 4: 21.9%",1.000
