ST001D01T,ST004D01T,ST268Q01JA,ST268Q04JA,ST268Q07JA,AGE,IMMIG,MISCED,ESCS,PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH,PV6MATH,PV7MATH,PV8MATH,PV9MATH,PV10MATH,SC064Q05WA,SC064Q06WA,SC064Q01TA,SC064Q02TA,SC064Q04NA,SC064Q03TA,SC064Q07WA,SCHSIZE,MCLSIZE,LV_SMP
10,1,1,1,2,15.42,1,8,1.2206,633.111,635.835,609.895,614.973,581.402,640.392,606.966,605.351,594.04,638.179,37,32,46,26,10,2,0,887,28,0.8245817202966572
10,1,1,4,3,15.33,1,4,0.4045,495.096,493.399,516.593,492.224,517.473,511.534,480.225,543.414,554.332,461.472,70,70,70,80,80,10,0,600,23,-0.260105897835677
10,1,3,3,3,16.17,1,4,0.4397,559.361,598.954,581.788,566.869,540.254,549.091,544.351,563.759,557.923,596.079,30,20,80,20,11,20,1,1091,28,0.32678322481064004
10,2,4,4,4,16.08,1,8,0.6775,577.142,576.082,608.549,619.208,609.252,614.531,598.276,560.527,545.535,551.172,14,0,16,17,26,5,0,725,28,0.527592144083982
10,2,3,1,4,15.58,1,8,0.8318,565.567,601.934,555.537,548.888,559.572,502.403,593.129,618.492,552.784,599.951,9,17,11,22,3,25,0,938,23,0.366134528765048
10,1,2,2,3,16,1,8,-0.427,605.517,677.555,611.97,639.995,601.153,670.279,625.075,641.854,671.358,614.108,70,70,70,70,70,71,10,214,18,1.0218449633762783
10,2,3,3,3,16.08,1,8,0.4888,408.089,352.926,382.322,384.806,433.21,374.534,393.817,362.597,361.3,378.356,10,0,10,10,0,5,0,596,23,-1.481880468213765
9,2,3,3,3,15.33,1,4,-0.2075,607.343,591.076,616.919,558.329,545.967,622.066,555.086,541.853,590.233,597.811,2,1,1,7,0,4,0,799,28,0.4943658693485115
10,1,2,2,4,16,1,10,0.2635,482.638,443.691,565.458,457.073,498.561,477.956,518.224,431.29,524.661,465.027,10,0,10,10,5,5,0,378,23,-0.45806316450776896
10,2,1,1,4,16.17,1,7,0.0775,539.215,485.397,537.151,491.177,543.089,550.606,563.167,527.589,516.038,526.205,31,23,17,22,0,7,0,578,18,-0.046953925082123475
10,1,3,3,4,15.42,1,8,1.0668,633.115,649.678,587.798,648.127,614.98,560.27,650.167,632.319,638.168,599.33,10,0,30,30,30,10,0,869,28,0.877708196824729
10,2,4,4,4,16.17,1,5,0.2913,634.658,654.825,582.822,657.167,638.731,658.536,621.128,687.854,668.228,624.021,10,16,16,71,3,9,0,642,28,1.0896426877963263
10,1,1,1,4,15.58,1,4,0.1421,461.128,467.885,421.613,445.864,461.581,450.397,464.926,455.714,443.863,451.084,30,2,49,27,18,25,0,935,28,-0.7960637530666548
10,2,2,1,4,15.75,1,8,1.5681,572.446,552.944,538.001,546.868,594.108,624.329,609.157,647.517,621.665,566.047,20,10,10,20,10,10,1,808,33,0.541026426004666
10,1,1,1,4,15.5,1,4,0.0884,494.541,489.127,423.012,485.852,385.184,534.21,475.838,424.346,497.083,478.201,5,5,30,80,0,3,0,521,23,-0.6325235642410288
10,1,2,1,4,15.5,1,4,0.6104,476.332,518.314,439.694,473.038,467.471,484.921,511.127,476.21,475.74,466.214,0,0,0,0,0,5,0,587,23,-0.5329578483453081
10,2,2,3,4,15.67,1,8,1.3157,675.345,677.107,614.89,626.977,609.908,619.736,562.722,603.793,620.83,607.341,20,10,10,10,1,1,1,702,18,0.8812466531325395
10,1,1,1,4,15.67,1,8,1.4057,403.786,380.615,380.059,413.646,405.38,418.719,448.175,370.205,358.823,365.228,1,1,50,50,0,10,0,804,38,-1.369024438141364
10,1,2,2,3,15.5,1,8,1.0494,662.59,648.264,650.558,654.685,638.357,719.358,699.316,669.347,695.165,647.065,50,72,75,75,50,100,0,950,28,1.3456629447666073
10,1,3,3,4,15.92,1,8,0.8738,616.428,574.529,567.006,625.124,604.65,580.65,576.143,592.65,556.161,611.919,30,20,80,20,11,20,1,1091,28,0.5714091173686779
10,2,1,1,1,15.42,1,7,-0.9788,254.247,250.361,297.475,268.724,260.123,330.084,280.61,275.081,256.192,222.94,30,30,20,50,0,10,0,485,18,-2.6066545618470935
10,1,1,1,4,16.08,1,4,0.5188,363.88,324.882,302.985,307.438,322.407,340.299,346.052,317.655,349.193,302.789,1,1,1,1,1,1,1,494,23,-2.0301856935759686
10,2,3,4,3,16,1,5,-1.0568,543.235,573.89,595.642,609.89,531.066,429.038,516.116,553.056,528.606,544.501,10,37,70,96,88,25,0,340,33,0.09395265881888278
10,1,2,2,3,15.42,1,5,0.4294,491.72,536.219,524.482,507.786,473.567,485.625,532.622,496.509,499.657,474.075,20,20,33,39,41,32,11,972,23,-0.3024756939530146
10,1,1,1,4,15.75,1,4,0.9592,613.674,570.106,563.169,579.584,636.8,566.175,591.199,663.985,612.214,575.862,52,1,81,52,10,5,0,1250,28,0.6380208720053236
10,2,3,3,3,16.08,1,5,-0.9578,473.216,440.742,476.902,484.935,495.755,491.997,451.085,502.623,532.063,455.889,10,30,30,80,0,45,0,629,23,-0.5178870693375563
10,2,3,3,3,15.75,1,8,0.6334,683.535,614.037,660.278,627.792,601.667,633.171,635.764,658.694,600.858,685.487,70,55,70,50,5,5,4,922,23,1.0628395896995086
10,2,4,3,4,15.42,1,8,1.199,773.278,740.153,767.651,764.933,772.923,812.761,739.37,774.815,743.772,788.546,20,20,90,80,75,75,20,1042,28,2.3280403950622883
10,1,2,2,4,15.58,1,5,1.1148,507.76,507.674,516.912,486.93,520.991,539.223,495.866,550.157,480.984,530.87,25,15,27,39,2,37,1,871,28,-0.1892949505873616
10,2,4,4,4,16.17,1,4,-0.2189,620.174,552.927,569.591,583.801,575.301,604.429,591.057,574.592,556.984,573.128,64,24,62,30,0,7,0,431,23,0.4700881956670183
10,1,2,1,4,15.92,1,4,0.3161,665.665,493.584,666.488,634.538,682.296,694.455,547.83,557.637,561.238,602.536,20,21,39,39,3,63,0,924,28,0.7705742712442631
10,2,2,2,4,15.83,1,8,-0.0573,552.912,618.287,619.974,622.054,528.722,615.206,654.171,610.111,610.835,659.934,20,0,60,90,0,2,0,1098,23,0.7584133433328615
10,1,2,3,3,15.92,1,4,0.142,507.507,541.725,576.721,531.733,570.658,530.367,537.964,549.919,547.069,553.534,35,52,77,82,68,52,0,610,23,0.11769017390370835
10,1,1,1,4,15.75,1,9,1.174,463.035,516.696,538.206,466.992,475.205,456.501,510.865,483.245,463.151,467.287,50,5,50,50,50,20,0,747,33,-0.48243365926127574
10,2,2,2,4,15.75,1,8,0.3914,644.472,600.263,575.043,556.257,567.258,533.623,590.855,548.306,574.593,553.694,20,25,25,10,10,10,1,642,28,0.41247435719729747
9,2,4,4,4,15.25,1,4,-1.273,477.258,468.605,496.47,506.137,457.6,519.11,461.439,502.309,479.984,458.936,30,100,30,100,0,10,0,558,28,-0.4954594630180638
10,2,1,2,3,15.58,1,4,0.6978,523.351,508.598,529.885,518.543,516.836,524.475,561.422,516.878,482.296,492.216,14,21,23,23,2,3,1,900,23,-0.15139019993921615
10,1,4,3,4,15.92,1,9,1.1735,488.797,506.016,498.375,552.912,510.91,525.288,515.662,513.612,532.134,523.769,46,54,57,53,56,55,0,499,23,-0.1584786274241804
10,1,2,2,3,15.42,1,8,1.4835,545.92,542.723,535.819,551.226,558.871,543.378,574.903,547.238,570.468,561.159,10,21,20,22,10,29,1,505,23,0.20251825061264578
10,1,3,2,4,15.92,1,4,0.2616,597.534,646.253,592.554,606.106,608.554,618.265,668.277,603.247,626.464,614.411,16,14,19,3,6,100,0,708,23,0.8469887474851643
10,1,1,1,3,15.58,1,8,0.5657,307.388,357.573,370.236,344.481,269.579,276.449,308.803,302.898,308.468,305.433,20,20,33,39,41,32,11,972,23,-2.1568554051560804
10,2,1,1,3,15.58,1,4,0.6211,487.325,445.702,459.299,492.324,520.299,496.016,475.897,474.075,470.447,493.873,20,10,20,12,10,10,0,729,23,-0.5076729164286825
10,1,3,2,4,16,1,8,1.3421,628.177,610.609,589.387,650.462,537.555,492.772,619.639,585.798,582.133,650.174,5,5,30,80,0,3,0,521,23,0.6125457609948889
10,1,2,2,3,15.42,1,9,0.9542,554.865,483.612,563.58,528.741,526.301,582.158,480.168,554.345,531.966,568.548,30,10,30,10,10,30,1,727,28,0.04532886749485213
10,1,1,1,4,15.75,1,8,1.4863,595.052,546.185,567.054,541.961,586.592,561.024,560.533,608.383,563.617,579.535,20,50,50,100,0,30,2,838,28,0.3778375409572744
10,2,1,1,2,15.83,1,4,0.1479,377.931,405.444,380.49,354.593,336.464,354.514,354.591,326.071,386.252,346.466,40,30,40,20,5,1,1,108,23,-1.6889354568054364
10,1,1,1,1,16,1,8,0.3141,331.185,299.678,347.233,303.41,367.597,345.31,300.153,295.219,286.078,319.755,5,0,50,70,24,30,0,386,23,-2.1126181861822575
10,1,2,2,4,15.92,1,4,0.4842,487.417,554.278,511.936,528.045,565.357,545.418,540.965,566.038,571.19,524.113,2,0,10,5,0,10,0,448,18,0.06643012176991624
10,1,1,1,4,15.58,1,8,0.3737,362.895,338.821,324.631,357.866,317.21,357.24,347.146,359.95,338.962,307.229,0,0,10,10,0,10,1,513,28,-1.8976682559921634
9,2,3,2,4,15.25,1,8,0.6628,541.184,531.46,544.198,504.093,506.574,456.8,507.568,504.472,509.189,488.768,50,30,40,10,20,20,0,622,28,-0.23226171269495285
10,1,1,1,3,15.5,1,4,-0.5618,448.831,418.037,487.724,470.728,477.75,450.154,465.833,420.75,475.469,432.641,5,5,3,3,0,2,0,419,23,-0.7722155725588257
10,1,1,2,4,15.92,1,5,-0.3641,626.946,611.726,583.447,613.737,582.784,623.432,597.817,631.798,569.956,622.489,14,21,23,23,2,3,1,900,23,0.7290738116460764
10,2,1,1,4,15.83,1,4,-0.4762,488.256,513.891,539.606,483.159,439.862,491.995,490.375,539.882,467.354,519.094,6,2,12,22,7,4,0,730,28,-0.35183868077652253
10,2,1,1,4,15.92,1,4,-1.2635,400.454,364.71,379.38,371.964,361.837,505.369,384.7,405.809,395.663,394.926,68,68,69,68,23,29,0,432,28,-1.3490005211100173
10,2,1,1,1,15.83,1,4,-0.0025,458.745,497.07,485.061,525.447,431.843,438.475,471.93,457.13,448.899,445.222,80,53,89,89,1,100,5,820,28,-0.6621293611671405
10,2,1,1,4,15.33,1,4,0.0194,489.271,504.792,593.827,536.689,582.157,507.832,493.727,530.62,503.555,569.67,70,70,70,70,70,71,10,214,18,-0.01710108657981873
10,2,4,2,4,16.08,1,4,0.4977,685.715,713.771,674.535,659.261,713.827,699.417,661.671,686.258,671.432,666.58,25,25,15,50,85,100,10,1010,28,1.4899200169010192
10,1,1,1,2,15.42,1,4,0.1111,514.024,509.442,558.109,509.814,524.23,502.216,520.004,504.79,535.24,546.807,0,0,15,15,0,33,0,313,18,-0.10236369881817522
9,2,2,2,3,15.33,1,8,-0.3208,403.487,402.788,372.066,381.403,371.304,367.348,418.77,406.636,372.471,380.004,40,48,16,15,85,87,0,436,28,-1.4377853871893178
10,2,4,4,4,15.92,1,8,0.635,571.118,613.587,639.744,582.93,612.093,639.879,670.717,604.407,616.491,673.005,50,15,50,30,0,5,5,524,18,0.8889777997633329
10,1,1,2,4,15.75,1,7,0.4635,651.264,674.22,642.973,633.198,605.217,607.581,642.158,619.366,671.897,636.901,10,5,33,100,0,10,1,668,33,1.047080803527878
10,1,2,2,4,15.42,1,8,0.7858,519.962,600.857,546.06,521.348,533.657,481.788,579.394,497.777,564.051,547.239,25,25,15,50,85,100,10,1010,28,0.06412653949033344
10,2,3,1,4,15.83,1,4,-0.1543,553.014,510.804,578.936,543.318,575.627,554.409,502.581,609,560.139,568.132,10,0,40,40,100,100,0,824,23,0.22451179934957305
10,2,4,1,4,15.58,1,8,0.7366,534.874,521.534,463.441,494.264,491.194,516.035,464.277,515.789,505.424,507.952,20,0,60,90,0,2,0,1098,23,-0.31059425541872054
10,2,2,2,2,16.17,1,4,-0.3224,306.66,399.463,323.452,388.673,387.525,375.563,418.56,449.089,359.598,386.511,64,24,62,30,0,7,0,431,23,-1.5180881116575793
10,1,3,3,4,15.67,1,8,0.7351,413.389,386.513,387.534,427.967,447.257,407.895,430.926,446.296,411.113,400.889,70,70,70,80,80,10,0,600,23,-1.1570984370753319
10,1,2,4,4,16,1,10,1.03,759.512,704.674,746.605,769.253,682.372,706.856,710.689,769.099,718.153,725.724,50,6,74,25,57,82,2,700,23,1.9456888631859137
10,2,1,1,4,15.92,2,7,0.3327,428.448,420.543,426.079,448.237,416.915,404.034,469.379,421.633,425.55,435.377,20,20,33,39,41,32,11,972,23,-1.021385901199178
10,2,1,1,1,15.92,1,4,-1.2142,337.048,349.459,362.763,325.349,351.889,361.51,364.924,351.12,379.915,314.155,7,3,25,11,8,1,1,451,23,-1.8120004967675651
9,2,1,1,4,15.25,1,4,-1.328,466.047,508.502,479.164,404.39,445.488,487.447,429.47,415.306,455.934,442.722,30,20,20,15,0,3,0,1070,33,-0.785970397581444
10,1,2,2,4,16.08,1,5,-0.8859,565.307,586.511,520.857,554.928,567.509,567.728,564.873,629.245,603.197,596.466,20,20,20,20,0,2,0,783,23,0.4245593134752783
10,1,2,2,3,15.5,1,8,0.3283,528.516,593.5,538.987,507.402,515.992,565.24,519.166,536.919,557.709,497.67,30,2,49,27,18,25,0,935,28,0.03293650970658537
10,2,1,1,3,15.83,1,4,0.3136,462.67,433.729,432.492,474.634,464.33,472.536,483.168,455.634,436.532,457.591,0,0,0,0,0,0,0,147,18,-0.7467892491893849
