Variable,Technique,Type,Mean ± SD,Range,Boundary_Adherence,Category_Proportions,Category_Adherence
SC064Q07WA,CTGAN,ordinal,,,,"1.0: 10.9%, 2.0: 12.0%, 3.0: 15.6%, 4.0: 11.6%, 5.0: 7.0%, 6.0: 3.8%, 7.0: 2.5%, 8.0: 1.8%, 9.0: 1.7%, 10.0: 2.1%, 11.0: 2.6%, 12.0: 2.4%, 13.0: 2.4%, 14.0: 1.8%, 15.0: 1.4%, 16.0: 1.5%, 17.0: 0.9%, 18.0: 0.5%, 19.0: 0.4%, 20.0: 0.4%, 21.0: 0.1%, 22.0: 0.0%, 23.0: 0.1%, 24.0: 0.0%, 25.0: 0.2%, 26.0: 0.5%, 27.0: 0.4%, 28.0: 0.6%, 29.0: 0.6%, 30.0: 0.7%, 31.0: 0.6%, 32.0: 0.3%, 33.0: 0.3%, 34.0: 0.2%, 35.0: 0.3%, 36.0: 0.1%, 37.0: 0.2%, 38.0: 0.0%, 39.0: 0.1%, 40.0: 0.1%, 41.0: 0.3%, 42.0: 0.4%, 43.0: 0.4%, 44.0: 0.4%, 45.0: 0.6%, 46.0: 0.7%, 47.0: 0.7%, 48.0: 0.6%, 49.0: 0.5%, 50.0: 0.5%, 51.0: 0.5%, 52.0: 0.4%, 53.0: 0.3%, 54.0: 0.1%, 55.0: 0.2%, 56.0: 0.1%, 57.0: 0.0%, 59.0: 0.0%, 60.0: 0.0%, 73.0: 0.0%, 74.0: 0.0%, 77.0: 0.0%, 78.0: 0.0%, 80.0: 0.0%, 81.0: 0.0%, 82.0: 0.0%, 84.0: 0.0%, 85.0: 0.1%, 86.0: 0.0%, 87.0: 0.2%, 89.0: 0.2%, 90.0: 0.2%, 91.0: 0.0%, 92.0: 0.1%, 93.0: 0.2%, 94.0: 0.2%, 95.0: 0.1%, 96.0: 0.1%, 97.0: 0.2%, 98.0: 0.3%, 99.0: 0.1%, 100.0: 2.4%",0.720
ST001D01T,CTGAN,categorical,,,,"8: 3.4%, 9: 13.2%, 10: 80.2%, 11: 3.2%",1.000
SC064Q06WA,CTGAN,ordinal,,,,"3.0: 2.3%, 4.0: 1.2%, 5.0: 0.9%, 6.0: 1.2%, 7.0: 1.6%, 8.0: 1.5%, 9.0: 2.1%, 10.0: 2.0%, 11.0: 2.3%, 12.0: 2.4%, 13.0: 2.6%, 14.0: 2.5%, 15.0: 3.0%, 16.0: 2.7%, 17.0: 2.7%, 18.0: 2.5%, 19.0: 2.5%, 20.0: 1.8%, 21.0: 2.0%, 22.0: 2.0%, 23.0: 1.5%, 24.0: 1.6%, 25.0: 1.2%, 26.0: 1.2%, 27.0: 1.2%, 28.0: 0.8%, 29.0: 0.4%, 30.0: 0.6%, 31.0: 0.5%, 32.0: 0.3%, 33.0: 0.4%, 34.0: 0.4%, 35.0: 0.2%, 36.0: 0.2%, 37.0: 0.2%, 38.0: 0.1%, 39.0: 0.0%, 40.0: 0.1%, 41.0: 0.1%, 42.0: 0.1%, 43.0: 0.2%, 44.0: 0.3%, 45.0: 0.2%, 46.0: 0.2%, 47.0: 0.5%, 48.0: 0.5%, 49.0: 0.5%, 50.0: 0.6%, 51.0: 0.3%, 52.0: 0.5%, 53.0: 0.4%, 54.0: 0.4%, 55.0: 0.4%, 56.0: 0.2%, 57.0: 0.2%, 58.0: 0.2%, 59.0: 0.1%, 60.0: 0.2%, 61.0: 0.1%, 62.0: 0.2%, 63.0: 0.1%, 64.0: 0.2%, 65.0: 0.2%, 66.0: 0.3%, 67.0: 0.3%, 68.0: 0.4%, 69.0: 0.8%, 70.0: 0.5%, 71.0: 1.0%, 72.0: 1.1%, 73.0: 1.0%, 74.0: 1.4%, 75.0: 1.6%, 76.0: 1.1%, 77.0: 1.3%, 78.0: 1.0%, 79.0: 0.8%, 80.0: 1.1%, 81.0: 0.8%, 82.0: 0.7%, 83.0: 0.7%, 84.0: 0.5%, 85.0: 0.5%, 86.0: 0.6%, 87.0: 0.4%, 88.0: 0.4%, 89.0: 0.4%, 90.0: 0.7%, 91.0: 0.9%, 92.0: 1.1%, 93.0: 1.3%, 94.0: 1.3%, 95.0: 1.4%, 96.0: 1.9%, 97.0: 1.4%, 98.0: 1.6%, 99.0: 1.6%, 100.0: 8.2%",0.224
AGE,GReaT,continuous,15.760 ± 0.286,15 to 16,1.000,,
ESCS,GReaT,continuous,0.621 ± 0.680,-2 to 2,1.000,,
PV1MATH,GReaT,continuous,608.742 ± 70.090,246 to 816,1.000,,
PV2MATH,GReaT,continuous,608.350 ± 68.567,291 to 835,1.000,,
PV3MATH,GReaT,continuous,606.630 ± 68.746,317 to 838,1.000,,
PV4MATH,GReaT,continuous,606.286 ± 70.289,298 to 833,1.000,,
PV5MATH,GReaT,continuous,607.712 ± 72.630,282 to 850,1.000,,
