technique,variable,type,distance
TapTap_GPT2,PV4MATH,continuous,2.7456304903095057
TapTap_GPT2,PV5MATH,continuous,2.4371489426048045
TapTap_GPT2,PV6MATH,continuous,3.442423194695209
TapTap_GPT2,PV7MATH,continuous,3.1977651219694474
TapTap_GPT2,PV8MATH,continuous,3.2606181364508986
TapTap_GPT2,PV9MATH,continuous,3.2352839659510995
TapTap_GPT2,SC064Q01TA,categorical,0.8325546111576977
TapTap_GPT2,SC064Q02TA,categorical,0.8325546111576977
TapTap_GPT2,SC064Q03TA,categorical,0.8325546111576978
TapTap_GPT2,SC064Q04NA,categorical,0.8325546111576977
TapTap_GPT2,SC064Q05WA,categorical,0.8325546111576978
TapTap_GPT2,SC064Q06WA,categorical,0.8325546111576977
TapTap_GPT2,SC064Q07WA,categorical,0.8325546111576978
TapTap_GPT2,SCHSIZE,continuous,96.50391167398396
TapTap_GPT2,ST001D01T,categorical,0.06541068277004032
TapTap_GPT2,ST004D01T,categorical,0.012569972076016567
TapTap_GPT2,ST268Q01JA,categorical,0.04440643524694185
TapTap_GPT2,ST268Q04JA,categorical,0.046291754006791336
TapTap_GPT2,ST268Q07JA,categorical,0.039989238672206634
PredLLM_DistilGPT2,AGE,continuous,0.025946929003247327
PredLLM_DistilGPT2,ESCS,continuous,0.1016088459434126
PredLLM_DistilGPT2,IMMIG,categorical,0.0878570669704688
PredLLM_DistilGPT2,MCLSIZE,continuous,0.8904273387788214
PredLLM_DistilGPT2,MISCED,categorical,0.08330409988397097
PredLLM_DistilGPT2,PV10MATH,continuous,7.534212732536914
PredLLM_DistilGPT2,PV1MATH,continuous,8.935798744442682
PredLLM_DistilGPT2,PV2MATH,continuous,8.273105872492387
PredLLM_DistilGPT2,PV3MATH,continuous,7.2096928430830545
PredLLM_DistilGPT2,PV4MATH,continuous,8.50602682974352
PredLLM_DistilGPT2,PV5MATH,continuous,7.63594488363055
PredLLM_DistilGPT2,PV6MATH,continuous,6.82085458961072
PredLLM_DistilGPT2,PV7MATH,continuous,7.924791427352508
PredLLM_DistilGPT2,PV8MATH,continuous,7.323252234250315
PredLLM_DistilGPT2,PV9MATH,continuous,7.8997323214302035
PredLLM_DistilGPT2,SC064Q01TA,categorical,0.8325546111576977
PredLLM_DistilGPT2,SC064Q02TA,categorical,0.8325546111576978
PredLLM_DistilGPT2,SC064Q03TA,categorical,0.8325546111576978
PredLLM_DistilGPT2,SC064Q04NA,categorical,0.8325546111576977
PredLLM_DistilGPT2,SC064Q05WA,categorical,0.8325546111576977
PredLLM_DistilGPT2,SC064Q06WA,categorical,0.8325546111576978
PredLLM_DistilGPT2,SC064Q07WA,categorical,0.8325546111576978
