"lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"SPI","=~","SC064Q03TA","",12.7578849216238,0.196297403220341,64.9926321608203,0,12.3679107746841,13.1392171577805,12.7578849216238,0.450716943357916,0.450716943357916
"SPI","=~","SC064Q04NA","",12.0343810990303,0.19513006601417,61.6736382293664,0,11.657986889738,12.4312666929142,12.0343810990303,0.468443982798635,0.468443982798635
"SPI","=~","SC064Q05WA","",27.5399748542322,0.13388206538261,205.703241696549,0,27.2734822173675,27.803566154689,27.5399748542322,0.906900415372927,0.906900415372927
"SPI","=~","SC064Q06WA","",15.3356904082881,0.199787951656433,76.7598360218451,0,14.9307075776801,15.7190072972721,15.3356904082881,0.415404535491771,0.415404535491771
"SMS","~","SPI","a",0.00661585374327731,0.00630352319155713,1.04954856867006,0.293925713943635,-0.00546942302267392,0.0191639174231333,0.00645807624466832,0.00645807624466832,0.00645807624466832
"SMS","~","female","c1",-0.347611365840354,0.012554075776902,-27.6891243941604,0,-0.372161057335897,-0.323270175117312,-0.339321392404035,-0.169659739566058,-0.339321392404035
"SMS","~","ESCS_z","c2",0.166877465377006,0.00871621498227339,19.1456343970856,0,0.149749360496467,0.183997115150315,0.162897705532988,0.160638064142513,0.162897705532988
"SMS","~","ST001D01T_z","c3",-0.0145400328710066,0.00648685962382477,-2.24145946023009,0.0249963286794577,-0.0273805513330129,-0.00191635109679711,-0.0141932764121882,-0.0137010024245639,-0.0141932764121882
"SMS","~","MISCED","c4",-0.0170442287972494,0.00384086827092762,-4.43759785417816,9.0968370534128e-06,-0.0247991843381258,-0.00974524705739322,-0.016637751282827,-0.0354182142245978,-0.016637751282827
"SMS","~","SCHSIZE_z","c5",0.0235927094125968,0.00607481457097339,3.88369210894556,0.000102882173277141,0.0120921609805875,0.0353315655855979,0.0230300611405865,0.023192058168037,0.0230300611405865
"SMP","~","SMS","b",0.401361004517422,0.00720143507775652,55.7334753675872,0,0.387146068300691,0.415391730759699,0.352262985426341,0.352262985426341,0.352262985426341
