Technique,Variable,Target,DeltaAbs,DeltaSigned,r_REAL,r_SYNTH
REaLTabFormer,grade,SMP,0.136,-0.136,0.199,0.063
CTGAN,grade,SPI,0.002,0.002,-0.041,-0.039
GReaT,grade,SPI,0.001,0.001,-0.041,-0.040
Tabula,grade,SPI,0.039,0.039,-0.041,-0.002
TapTap,grade,SPI,0.010,-0.010,-0.041,-0.051
PredLLM,grade,SPI,0.014,-0.014,-0.041,-0.055
TabSyn,grade,SPI,0.009,0.009,-0.041,-0.032
TabDiff,grade,SPI,0.031,0.031,-0.041,-0.010
REaLTabFormer,grade,SPI,0.008,0.008,-0.041,-0.033
CTGAN,grade,SMS,0.013,0.013,0.085,0.098
GReaT,grade,SMS,0.005,0.005,0.085,0.090
Tabula,grade,SMS,0.033,0.033,0.085,0.118
TapTap,grade,SMS,0.018,-0.018,0.085,0.067
PredLLM,grade,SMS,0.001,0.001,0.085,0.086
TabSyn,grade,SMS,0.040,-0.040,0.085,0.045
TabDiff,grade,SMS,0.004,0.004,0.085,0.089
REaLTabFormer,grade,SMS,0.040,-0.040,0.085,0.045
CTGAN,age,SMP,0.086,0.086,0.079,0.165
GReaT,age,SMP,0.010,-0.010,0.079,0.070
Tabula,age,SMP,0.046,-0.046,0.079,0.033
TapTap,age,SMP,0.001,0.001,0.079,0.081
PredLLM,age,SMP,0.030,-0.030,0.079,0.049
TabSyn,age,SMP,0.002,-0.002,0.079,0.077
TabDiff,age,SMP,0.040,-0.040,0.079,0.039
REaLTabFormer,age,SMP,0.102,-0.102,0.079,-0.022
CTGAN,age,SPI,0.025,0.025,-0.011,0.014
GReaT,age,SPI,0.011,0.011,-0.011,-0.001
Tabula,age,SPI,0.005,-0.005,-0.011,-0.016
TapTap,age,SPI,0.002,0.002,-0.011,-0.010
PredLLM,age,SPI,0.011,0.011,-0.011,-0.000
TabSyn,age,SPI,0.003,0.003,-0.011,-0.008
TabDiff,age,SPI,0.041,0.041,-0.011,0.030
REaLTabFormer,age,SPI,0.067,0.067,-0.011,0.055
CTGAN,age,SMS,0.098,0.098,0.003,0.101
GReaT,age,SMS,0.029,-0.029,0.003,-0.026
Tabula,age,SMS,0.019,-0.019,0.003,-0.016
TapTap,age,SMS,0.024,0.024,0.003,0.027
PredLLM,age,SMS,0.025,0.025,0.003,0.028
TabSyn,age,SMS,0.001,0.001,0.003,0.004
TabDiff,age,SMS,0.038,-0.038,0.003,-0.035
REaLTabFormer,age,SMS,0.090,-0.090,0.003,-0.087
CTGAN,ESCS,SMP,0.008,0.008,0.385,0.393
