Variable,Technique,Type,Category_Adherence,Category_Proportions
SC064Q03TA,TabDiff,ordinal,1.000,"1: 7.8%, 2: 26.3%, 3: 4.8%, 5: 32.5%, 6: 4.1%, 10: 9.1%, 16: 4.7%, 20: 6.3%, 30: 4.3%"
SC064Q03TA,TabSyn,ordinal,1.000,"1: 9.5%, 2: 25.0%, 3: 3.8%, 5: 32.1%, 6: 5.1%, 10: 8.7%, 16: 3.6%, 20: 7.7%, 30: 4.6%"
SC064Q03TA,Tabula_DistilGPT2,ordinal,1.000,"1.0: 8.2%, 2.0: 27.1%, 3.0: 5.1%, 5.0: 30.7%, 6.0: 6.7%, 10.0: 13.1%, 16.0: 1.8%, 20.0: 5.2%, 30.0: 2.1%"
SC064Q03TA,Tabula_GPT2,ordinal,1.000,"0.0: 0.0%, 1.0: 5.1%, 2.0: 29.4%, 3.0: 5.0%, 5.0: 31.4%, 6.0: 5.2%, 10.0: 13.0%, 16.0: 4.2%, 20.0: 3.8%, 30.0: 3.0%"
SC064Q03TA,TapTap_DistilGPT2,ordinal,0.000,"1.000740568: 7.1%, 1.999663259: 27.5%, 2.99858595: 3.8%, 5.003416807: 38.1%, 5.701964143: 0.0%, 6.002339498: 3.5%, 9.998030263: 8.5%, 15.99855189: 2.0%, 16.00064753: 0.0%, 20.00122812: 6.1%, 29.99744051: 3.4%"
SC064Q03TA,TapTap_GPT2,ordinal,0.000,"1.000740568: 7.2%, 1.999663259: 29.2%, 2.99858595: 4.1%, 3.725075181: 0.0%, 5.003416807: 37.2%, 6.002339498: 2.5%, 9.844349849: 0.0%, 9.998030263: 8.9%, 15.99855189: 2.5%, 20.00122812: 5.5%, 29.99744051: 2.9%"
SC064Q04NA,REAL,ordinal,,"1.0: 4.2%, 2.0: 15.5%, 3.0: 15.2%, 4.0: 3.2%, 5.0: 19.6%, 6.0: 4.7%, 8.0: 3.5%, 10.0: 12.5%, 15.0: 10.6%, 20.0: 6.7%, 26.0: 4.3%"
SC064Q04NA,CTGAN,ordinal,0.764,"1.0: 2.1%, 2.0: 14.6%, 3.0: 14.6%, 4.0: 4.8%, 5.0: 16.1%, 6.0: 7.8%, 7.0: 0.6%, 8.0: 1.4%, 9.0: 5.7%, 10.0: 7.9%, 11.0: 2.6%, 12.0: 0.2%, 13.0: 0.4%, 14.0: 2.0%, 15.0: 4.3%, 16.0: 2.5%, 17.0: 0.8%, 18.0: 0.6%, 19.0: 0.8%, 20.0: 1.2%, 21.0: 1.6%, 22.0: 1.8%, 23.0: 1.5%, 24.0: 1.3%, 25.0: 1.3%, 26.0: 1.6%"
SC064Q04NA,GReaT_DistilGPT2,ordinal,1.000,"1.0: 3.7%, 2.0: 18.7%, 3.0: 18.4%, 4.0: 1.3%, 5.0: 20.3%, 6.0: 5.8%, 8.0: 2.5%, 10.0: 12.7%, 15.0: 9.2%, 20.0: 3.8%, 26.0: 3.7%"
SC064Q04NA,GReaT_GPT2,ordinal,1.000,"1.0: 5.2%, 2.0: 18.2%, 3.0: 18.5%, 4.0: 0.7%, 5.0: 20.1%, 6.0: 5.5%, 8.0: 5.1%, 10.0: 10.5%, 15.0: 9.4%, 16.0: 0.0%, 20.0: 3.7%, 26.0: 2.9%"
